epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,635.232,2.0914,5.60936,1.87514,0.08353,0.09386,0.0376,0.01106,2.47785,6.36867,2.39599,0.000475174,0.000475174,0.000475174
2,1321.77,2.33938,4.31587,2.17253,0.19653,0.06181,0.06159,0.02301,2.477,4.38112,2.33253,0.000932668,0.000932668,0.000932668
3,1962.25,2.37513,3.73243,2.17335,0.41895,0.0854,0.07234,0.02373,2.56383,4.2645,2.42642,0.0013713,0.0013713,0.0013713
4,2552.5,2.31369,3.61056,2.18855,0.41401,0.14372,0.09131,0.02923,2.39236,3.49029,2.35571,0.00134412,0.00134412,0.00134412
5,3103.79,2.19642,3.44765,2.14818,0.23469,0.08764,0.09583,0.02976,2.40465,3.48109,2.30347,0.00131582,0.00131582,0.00131582
6,3653.77,2.17242,3.31033,2.0742,0.21145,0.26193,0.15275,0.05424,2.17249,3.24438,2.06995,0.00128753,0.00128753,0.00128753
7,4192.62,2.10706,3.24955,1.99121,0.2544,0.23455,0.16701,0.06347,2.11881,3.16202,2.01852,0.00125923,0.00125923,0.00125923
8,4697.68,2.03414,3.11034,1.93026,0.22435,0.28089,0.17859,0.07411,2.10249,3.22146,1.99938,0.00123094,0.00123094,0.00123094
9,5247.07,2.03119,3.09615,1.92601,0.31574,0.27954,0.18818,0.07828,2.09661,3.06723,1.98671,0.00120265,0.00120265,0.00120265
10,5783.54,1.96293,2.94465,1.89992,0.32434,0.28142,0.23234,0.08442,2.07993,3.0387,2.04138,0.00117435,0.00117435,0.00117435
11,6315.5,1.98872,2.90809,1.88482,0.35101,0.24835,0.24626,0.10184,1.9622,2.90042,1.89454,0.00114606,0.00114606,0.00114606
12,6846.78,1.94452,2.90139,1.86765,0.32129,0.34352,0.26814,0.11403,1.97017,2.7481,1.89938,0.00111776,0.00111776,0.00111776
13,7378.27,1.91149,2.88049,1.85714,0.4018,0.30524,0.28471,0.11844,1.95842,2.78966,1.87234,0.00108947,0.00108947,0.00108947
14,7918,1.87315,2.79358,1.82313,0.40059,0.31158,0.28233,0.12819,1.90544,2.69312,1.84184,0.00106118,0.00106118,0.00106118
15,8452.14,1.8824,2.74167,1.83931,0.3514,0.32198,0.27521,0.10964,1.93987,2.7046,1.89319,0.00103288,0.00103288,0.00103288
16,8985.57,1.82718,2.68228,1.78452,0.24287,0.32934,0.23181,0.09771,1.92778,2.75105,1.81427,0.00100459,0.00100459,0.00100459
17,9516.77,1.8118,2.68733,1.77021,0.27187,0.37663,0.2697,0.11345,1.8351,2.60531,1.79494,0.000976293,0.000976293,0.000976293
18,10048.3,1.80903,2.5678,1.75817,0.35008,0.3194,0.27732,0.10968,1.92804,2.73545,1.87637,0.000947999,0.000947999,0.000947999
19,10580.3,1.78933,2.60092,1.76051,0.37113,0.37081,0.32407,0.13807,1.86215,2.61624,1.84454,0.000919704,0.000919704,0.000919704
20,11113.8,1.78345,2.58491,1.76295,0.4931,0.4142,0.38885,0.16821,1.82277,2.43708,1.79068,0.00089141,0.00089141,0.00089141
21,11645.8,1.80311,2.55058,1.75429,0.43667,0.38164,0.38021,0.16801,1.79568,2.46791,1.75746,0.000863116,0.000863116,0.000863116
22,12178.1,1.76485,2.56529,1.72358,0.42782,0.3979,0.37528,0.16881,1.77293,2.43082,1.73188,0.000834822,0.000834822,0.000834822
23,12710.6,1.73436,2.42318,1.70893,0.45479,0.37178,0.36544,0.1663,1.78904,2.41038,1.73314,0.000806528,0.000806528,0.000806528
24,13242,1.72386,2.46556,1.70873,0.50489,0.43581,0.44108,0.19596,1.75317,2.49454,1.72673,0.000778233,0.000778233,0.000778233
25,13773.5,1.75451,2.43895,1.72732,0.51208,0.42202,0.45432,0.20089,1.77743,2.27053,1.74573,0.000749939,0.000749939,0.000749939
26,14309.4,1.71489,2.41693,1.69254,0.49337,0.4348,0.44042,0.20798,1.74981,2.27412,1.73029,0.000721645,0.000721645,0.000721645
