epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,725.818,3.66489,8.64918,4.13537,0.00017,0.05612,0.00015,4e-05,3.46113,7.50215,3.82935,0.000475174,0.000475174,0.000475174
2,1359.26,3.34984,6.31052,3.61155,0.00061,0.07427,0.00044,0.00011,3.34012,5.5173,3.61008,0.000932668,0.000932668,0.000932668
3,1938.66,3.19757,4.94257,3.32858,0.00332,0.20521,0.00352,0.0008,3.13063,4.79334,3.27187,0.0013713,0.0013713,0.0013713
4,2506.98,3.03281,4.5331,3.12957,0.00312,0.508,0.0156,0.00423,2.89707,4.21627,3.05273,0.00134412,0.00134412,0.00134412
5,3051.69,2.88577,4.25411,3.02179,0.00625,0.4026,0.01649,0.00571,2.87869,4.32793,3.05909,0.00131582,0.00131582,0.00131582
6,3593.12,2.79973,4.17284,2.98463,0.00708,0.45549,0.03426,0.01073,2.72645,4.13141,2.91443,0.00128753,0.00128753,0.00128753
7,4134.04,2.66357,3.98835,2.89171,0.70883,0.01891,0.0342,0.0108,2.64814,3.8252,2.86547,0.00125923,0.00125923,0.00125923
8,4673.81,2.57471,3.96171,2.78774,0.266,0.05031,0.05677,0.01892,2.66368,3.75972,2.82084,0.00123094,0.00123094,0.00123094
9,5215.81,2.56197,3.87993,2.77087,0.10052,0.06063,0.04461,0.01355,2.57063,3.78748,2.77765,0.00120265,0.00120265,0.00120265
10,5754.43,2.48512,3.71328,2.68204,0.25429,0.14457,0.06305,0.01759,2.56574,3.7499,2.72101,0.00117435,0.00117435,0.00117435
11,6300.78,2.4267,3.6798,2.63533,0.4732,0.07196,0.06546,0.02011,2.42891,3.57418,2.62932,0.00114606,0.00114606,0.00114606
12,6837.76,2.40126,3.56192,2.60349,0.70605,0.12057,0.10606,0.04049,2.41175,3.46206,2.60548,0.00111776,0.00111776,0.00111776
13,7382.72,2.33887,3.51819,2.57793,0.21944,0.1398,0.07892,0.0274,2.41588,3.40748,2.64394,0.00108947,0.00108947,0.00108947
14,7924.98,2.31746,3.42433,2.5433,0.45215,0.11419,0.12778,0.04367,2.34964,3.38899,2.56249,0.00106118,0.00106118,0.00106118
15,8468.63,2.32722,3.40243,2.54576,0.16372,0.25589,0.14565,0.05375,2.27857,3.38306,2.45826,0.00103288,0.00103288,0.00103288
16,9013.5,2.25755,3.32819,2.49633,0.24246,0.17981,0.12342,0.04136,2.34864,3.24836,2.5512,0.00100459,0.00100459,0.00100459
17,9551.99,2.23896,3.34096,2.45451,0.25822,0.20805,0.15508,0.05919,2.19747,3.02251,2.4147,0.000976293,0.000976293,0.000976293
18,10097.4,2.17795,3.26703,2.43769,0.25665,0.18375,0.13574,0.05139,2.20126,3.06492,2.42522,0.000947999,0.000947999,0.000947999
19,10656.6,2.1846,3.16209,2.4212,0.23876,0.22753,0.15931,0.06301,2.17397,3.04695,2.38823,0.000919704,0.000919704,0.000919704
20,11243.2,2.1471,3.168,2.37082,0.34196,0.24404,0.19172,0.07315,2.12038,2.99763,2.32836,0.00089141,0.00089141,0.00089141
21,11823.5,2.12055,3.12155,2.36651,0.19986,0.21075,0.12134,0.0465,2.2902,3.2642,2.51077,0.000863116,0.000863116,0.000863116
22,12401.2,2.10495,3.06569,2.34568,0.34466,0.27996,0.23275,0.08835,2.1087,2.83085,2.29668,0.000834822,0.000834822,0.000834822
23,12981.6,2.08421,3.0265,2.31689,0.31446,0.2404,0.21359,0.0848,2.10034,2.84983,2.30201,0.000806528,0.000806528,0.000806528
24,13563.4,2.09512,3.026,2.35986,0.32763,0.25925,0.2196,0.07639,2.19234,2.90119,2.40992,0.000778233,0.000778233,0.000778233
25,14146.1,2.07196,2.96451,2.30113,0.29966,0.28719,0.23405,0.09015,2.06105,2.74097,2.24817,0.000749939,0.000749939,0.000749939
26,14737,2.06556,2.92994,2.26448,0.28035,0.24274,0.20374,0.07885,2.05452,2.7446,2.26017,0.000721645,0.000721645,0.000721645
27,15326.1,2.01594,2.88466,2.2397,0.35293,0.29332,0.26049,0.096,2.04733,2.74467,2.25463,0.000693351,0.000693351,0.000693351
28,15905.7,1.99708,2.87299,2.24888,0.40349,0.34746,0.30632,0.12505,1.99684,2.64378,2.22012,0.000665057,0.000665057,0.000665057
29,16481.3,1.99417,2.87366,2.22891,0.40543,0.31961,0.3033,0.11448,1.99631,2.58634,2.21821,0.000636762,0.000636762,0.000636762
30,17064.5,1.95991,2.83998,2.22764,0.38704,0.30168,0.30223,0.12493,2.03828,2.63296,2.23039,0.000608468,0.000608468,0.000608468
31,17632.8,1.97057,2.79618,2.21986,0.36783,0.33257,0.28727,0.1152,1.98147,2.63836,2.20935,0.000580174,0.000580174,0.000580174
32,18215.5,1.97331,2.75327,2.19285,0.38659,0.32512,0.31322,0.12297,1.99998,2.59959,2.19673,0.00055188,0.00055188,0.00055188
33,18794,1.96012,2.71613,2.1699,0.4244,0.37251,0.33048,0.14188,1.90936,2.53731,2.15019,0.000523586,0.000523586,0.000523586
34,19367.5,1.91308,2.70459,2.13846,0.43478,0.36875,0.32569,0.13541,1.9315,2.51289,2.15804,0.000495291,0.000495291,0.000495291
35,19942.8,1.91538,2.73921,2.15405,0.4632,0.37645,0.35535,0.15255,1.92284,2.4542,2.13396,0.000466997,0.000466997,0.000466997
36,20521.3,1.91541,2.66924,2.16052,0.46166,0.3776,0.35442,0.15438,1.89304,2.4523,2.12075,0.000438703,0.000438703,0.000438703
37,21097,1.86935,2.63836,2.12586,0.48236,0.40292,0.37026,0.1614,1.89062,2.45264,2.12351,0.000410409,0.000410409,0.000410409
38,21672.7,1.84733,2.62001,2.10094,0.3757,0.37935,0.33095,0.13964,1.89522,2.4443,2.13789,0.000382115,0.000382115,0.000382115
39,22251.2,1.85662,2.58186,2.11754,0.49207,0.4014,0.39008,0.16718,1.86157,2.36344,2.09008,0.00035382,0.00035382,0.00035382
40,22829,1.85783,2.57446,2.11128,0.48876,0.38511,0.40529,0.17088,1.84766,2.35721,2.08371,0.000325526,0.000325526,0.000325526
41,23401.1,1.81972,2.4279,2.05459,0.4795,0.40135,0.38992,0.16746,1.86395,2.38348,2.08865,0.000297232,0.000297232,0.000297232
42,23973.5,1.82064,2.37194,2.05437,0.50734,0.37443,0.40066,0.16916,1.83596,2.30415,2.07556,0.000268938,0.000268938,0.000268938
43,24550.2,1.77083,2.31939,2.01104,0.47496,0.39983,0.39205,0.16882,1.84484,2.31149,2.08185,0.000240644,0.000240644,0.000240644
44,25123.8,1.77445,2.32881,2.02269,0.48503,0.42543,0.40997,0.18091,1.8297,2.28765,2.05987,0.000212349,0.000212349,0.000212349
45,25699.8,1.76966,2.26086,2.04475,0.4938,0.40814,0.40808,0.18194,1.81158,2.28295,2.05195,0.000184055,0.000184055,0.000184055
46,26277.1,1.75137,2.23156,2.01939,0.51913,0.39948,0.42694,0.18717,1.81772,2.27072,2.05569,0.000155761,0.000155761,0.000155761
47,26849.5,1.74026,2.26013,2.00057,0.55926,0.40726,0.43746,0.19297,1.81524,2.22448,2.05446,0.000127467,0.000127467,0.000127467
48,27425,1.73912,2.27594,1.99988,0.52549,0.43076,0.43401,0.19449,1.78935,2.21002,2.03834,9.91726e-05,9.91726e-05,9.91726e-05
49,28003.7,1.74276,2.20569,2.00497,0.51266,0.44608,0.43714,0.20013,1.79875,2.21168,2.03966,7.08784e-05,7.08784e-05,7.08784e-05
50,28575.7,1.68531,2.18939,1.95925,0.54137,0.43784,0.44658,0.20167,1.79166,2.20609,2.0384,4.25842e-05,4.25842e-05,4.25842e-05
