epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.422,3.64338,7.45584,4.0619,0.00021,0.05859,0.00021,5e-05,3.40713,7.56285,3.79297,0.000475174,0.000475174,0.000475174
2,1210.33,3.26424,5.53435,3.47574,0.00191,0.18134,0.00226,0.00052,3.12971,5.20237,3.34909,0.000942088,0.000942088,0.000942088
3,1826.93,3.02252,4.61381,3.09479,0.34725,0.026,0.01032,0.00279,2.94025,4.49332,3.10134,0.00139957,0.00139957,0.00139957
4,2407.76,2.85277,4.33072,2.97212,0.00281,0.44952,0.01855,0.00632,2.96475,4.47964,3.15665,0.00138656,0.00138656,0.00138656
5,2986.16,2.74467,4.07771,2.8717,0.00562,0.51691,0.02514,0.00732,2.73769,4.12073,2.86343,0.00137241,0.00137241,0.00137241
6,3548.42,2.72015,3.96308,2.76664,0.3722,0.0582,0.02184,0.00647,2.63461,3.93439,2.72586,0.00135826,0.00135826,0.00135826
7,4112.27,2.57044,3.83618,2.67611,0.6999,0.0591,0.02777,0.00916,2.59655,3.89429,2.74178,0.00134412,0.00134412,0.00134412
8,4675.26,2.5316,3.76295,2.62129,0.01942,0.42758,0.03695,0.01047,2.54701,3.78756,2.64131,0.00132997,0.00132997,0.00132997
9,5236.72,2.44227,3.73467,2.53576,0.41606,0.04965,0.04166,0.01416,2.46443,3.9179,2.5949,0.00131582,0.00131582,0.00131582
10,5797.98,2.36191,3.557,2.48191,0.15878,0.15413,0.058,0.01674,2.4174,3.61717,2.54355,0.00130168,0.00130168,0.00130168
11,6361.99,2.3546,3.54911,2.45088,0.22071,0.16343,0.10941,0.03383,2.37849,3.44076,2.50043,0.00128753,0.00128753,0.00128753
12,6921.42,2.31333,3.52695,2.39697,0.21833,0.18537,0.1045,0.03542,2.29287,3.38795,2.41289,0.00127338,0.00127338,0.00127338
13,7485.8,2.29306,3.55855,2.39488,0.39889,0.15069,0.11467,0.03986,2.2852,3.48758,2.41079,0.00125923,0.00125923,0.00125923
14,8045.84,2.20654,3.38972,2.33357,0.23405,0.14024,0.11018,0.03845,2.27303,3.3857,2.38604,0.00124509,0.00124509,0.00124509
15,8606.46,2.18913,3.32114,2.30595,0.42244,0.11863,0.09117,0.02897,2.42759,3.69921,2.56186,0.00123094,0.00123094,0.00123094
16,9172.38,2.13482,3.24145,2.25701,0.08556,0.1462,0.10253,0.0357,2.23503,3.23338,2.33333,0.00121679,0.00121679,0.00121679
17,9739.63,2.12429,3.29014,2.25381,0.28078,0.21379,0.16388,0.06181,2.21259,3.16666,2.31848,0.00120265,0.00120265,0.00120265
18,10305.6,2.10247,3.1616,2.21608,0.25452,0.22242,0.15413,0.04961,2.2284,3.15258,2.3209,0.0011885,0.0011885,0.0011885
19,10872.3,2.08544,3.13121,2.20981,0.32693,0.22563,0.17424,0.06387,2.16695,3.12038,2.25218,0.00117435,0.00117435,0.00117435
20,11440.5,2.07036,3.10177,2.20414,0.18919,0.15291,0.10737,0.03643,2.47116,3.67011,2.59105,0.00116021,0.00116021,0.00116021
21,12004.3,2.08446,3.12303,2.19699,0.23463,0.22273,0.16377,0.0554,2.14966,3.19479,2.27988,0.00114606,0.00114606,0.00114606
22,12574.8,2.03197,3.12939,2.16674,0.25881,0.20888,0.14422,0.05261,2.21433,3.22715,2.29182,0.00113191,0.00113191,0.00113191
23,13141.6,2.01823,3.03324,2.13144,0.23234,0.27814,0.18296,0.06846,2.07144,2.95388,2.15172,0.00111776,0.00111776,0.00111776
24,13713.6,1.99471,2.98694,2.12296,0.34285,0.28074,0.24673,0.08742,2.06076,2.83862,2.1534,0.00110362,0.00110362,0.00110362
25,14284.8,1.98653,2.95102,2.12664,0.30968,0.26404,0.23024,0.08668,2.06659,2.92802,2.21174,0.00108947,0.00108947,0.00108947
26,14858.5,1.94953,2.96504,2.10495,0.32386,0.29714,0.23686,0.0858,2.04339,2.83059,2.1588,0.00107532,0.00107532,0.00107532
27,15431.1,1.96524,2.95309,2.08651,0.35759,0.28443,0.2654,0.10508,1.98243,2.77304,2.10831,0.00106118,0.00106118,0.00106118
28,16001.2,1.92986,2.9048,2.05982,0.35048,0.27784,0.25752,0.09998,2.01901,2.81435,2.10844,0.00104703,0.00104703,0.00104703
29,16570.8,1.90976,2.83862,2.06101,0.35224,0.35049,0.27976,0.10755,1.96298,2.6654,2.0717,0.00103288,0.00103288,0.00103288
30,17140,1.92474,2.89523,2.05955,0.32292,0.35417,0.29457,0.11899,1.92816,2.69686,2.07001,0.00101873,0.00101873,0.00101873
31,17706.8,1.91788,2.88392,2.06332,0.3785,0.29804,0.23863,0.08899,1.97676,2.82855,2.10858,0.00100459,0.00100459,0.00100459
32,18278.5,1.9044,2.83468,2.03535,0.34589,0.28656,0.2642,0.10898,1.96265,2.72129,2.09923,0.00099044,0.00099044,0.00099044
33,18847.5,1.89173,2.78043,2.0185,0.38404,0.36659,0.32362,0.12974,1.95078,2.64039,2.05819,0.000976293,0.000976293,0.000976293
34,19416.8,1.89176,2.80464,2.02468,0.34695,0.30283,0.26908,0.10595,1.93688,2.61558,2.02155,0.000962146,0.000962146,0.000962146
35,19995.4,1.88329,2.80809,2.00893,0.35239,0.36467,0.30954,0.12832,1.93758,2.6565,2.03916,0.000947999,0.000947999,0.000947999
36,20574.7,1.85597,2.78674,2.01343,0.37457,0.31372,0.28613,0.12057,1.89755,2.61581,2.02324,0.000933851,0.000933851,0.000933851
37,21154,1.8314,2.72927,1.99435,0.49334,0.34715,0.35214,0.14666,1.87103,2.54057,1.98705,0.000919704,0.000919704,0.000919704
38,21733.5,1.82511,2.725,1.96393,0.43039,0.33613,0.32922,0.13548,1.92228,2.63873,2.03244,0.000905557,0.000905557,0.000905557
39,22309.1,1.84473,2.67565,1.98738,0.45608,0.37525,0.37122,0.14798,1.87268,2.52799,2.00272,0.00089141,0.00089141,0.00089141
40,22888.8,1.8154,2.68042,1.96486,0.43738,0.36835,0.36149,0.15783,1.89466,2.52089,1.97139,0.000877263,0.000877263,0.000877263
41,23457.4,1.84516,2.73094,1.98818,0.40126,0.38078,0.35258,0.15073,1.8759,2.49061,1.98297,0.000863116,0.000863116,0.000863116
42,24030.5,1.78533,2.66483,1.94329,0.33529,0.35607,0.28553,0.11127,1.93975,2.67028,2.04749,0.000848969,0.000848969,0.000848969
43,24595.9,1.77526,2.64749,1.92551,0.3929,0.34842,0.34806,0.14781,1.84249,2.51851,1.96092,0.000834822,0.000834822,0.000834822
44,25164.3,1.80174,2.62643,1.96014,0.42641,0.37976,0.38044,0.15299,1.86746,2.46586,1.962,0.000820675,0.000820675,0.000820675
45,25733.4,1.78586,2.69429,1.92847,0.40481,0.36973,0.35438,0.15415,1.8444,2.53985,1.96581,0.000806528,0.000806528,0.000806528
46,26301.8,1.76218,2.6057,1.91727,0.43587,0.38483,0.37449,0.16148,1.83902,2.47257,1.95529,0.00079238,0.00079238,0.00079238
47,26872,1.75969,2.62259,1.91407,0.39163,0.3798,0.3281,0.14585,1.85753,2.4695,1.9598,0.000778233,0.000778233,0.000778233
48,27438,1.78279,2.59018,1.92527,0.4736,0.43336,0.40439,0.1753,1.82595,2.38762,1.92615,0.000764086,0.000764086,0.000764086
49,28007.1,1.75789,2.54866,1.92195,0.33339,0.38097,0.28393,0.11928,1.90239,2.80748,2.05115,0.000749939,0.000749939,0.000749939
